"data_hora","data","hora","altura","n_calcado","peso","cirurgia","estetica","estetica_outros","cor","oculos","sexo","estado_civil","n_pessoas_moradia","entidade_estudantil","tipo_entidade_estudantil","religiao","animais_domesticos","outro_animais_domesticos","n_filhos","idade","doa_sangue","frequencia_esporte","n_livros_ano","uf_antes_fearp","n_pessoas_whatsapp","renda_em_sm","auxilio_usp","tipo_auxilio_usp","bandejao","n_refeicoes_bandejao","fundo_de_investimento","cartao_de_credito","conta_em_bancos","previdencia_privada","ano_ingresso_usp","cotas","divide_residencia","n_tv","viagem_exterior","n_paises","idioma_fluente","outro_idioma","plano_saude","escola_colegial","casa_pais","escolaridade_pai","escolaridade_mae","ajuda_financeira_pais","transporte_em_ribeirao","graduacao_anterior","curso_graduacao_anterior","empregado","modalidade_emprego","profissao","trabalho_contabil","cidade_empresa","horas_trabalho_semana","renda_complementar"
2022-08-17 16:58:49,2022-08-17,16H 58M 49S,181,41,"71 a 80 kg","Não","Outros","nenhum","Branca","Sim","Masculino","Solteiro","4","Não",NA,"Não","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","até duas vezes",20,"SP","Até 100","Até 2 Salários Mínimos","Sim","Auxilio financeiro","Sim","1 refeição","Não","Não","Sim","Não",2022,"Sim","Com os pais","2","Não","1","Outro:","Nenhum","Não","Pública (Estadual, Federal ou Municipal)","Própria","Ensino fundamental","Ensino fundamental","Não","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Presencial","Nenhuma","Não","nenhuma","Não trabalho","Não"
2022-08-17 17:39:02,2022-08-17,17H 39M 2S,171,40,"61 a 70 kg, 71 a 80 kg","Sim","Outros","Não possuo nenhum dos itens","Branca","Sim","Masculino","Solteiro","2","Não",NA,"Não","Cachorro",NA,"Acima de 4","(21 a 25)","Não","quatro ou mais vezes",5,"São Paulo","Até 100","De 2 a 4 SM","Não",NA,"Sim","0 refeições","Não","Sim","Sim","Não",2022,"Não","Com os pais","2","Sim","10","Outro:","não falo nenhuma de forma fluente","Sim","Estudei em ambas com predominância na Pública","Própria","Ensino Superior","Ensino Médio","Não","Ônibus","Sim","Educação Física","Sim","Homeoffice","Analista de operações","Não","sao paulo","31 a 40h","Não"
2022-08-17 18:07:31,2022-08-17,18H 7M 31S,173,39,"51 a 60 kg","Não","Piercing","nenhum","Branca","Não","Masculino","Solteiro","1","Sim","Nexos","Não","Não possuo animal de estimação",NA,"Acima de 4","(21 a 25)","Sim","quatro ou mais vezes",10,"sp","Acima de 300","De 2 a 4 SM","Sim","auxilio","Sim","1 refeição","Não","Sim","Sim","Não",19,"Sim","Com os pais","1","Sim","2","Inglês",NA,"Não","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino Médio","Sim","Ônibus","Sim","quimica","Não","Homeoffice","estudante","Não","nenhuma","Não trabalho","Não"
2022-08-17 18:24:40,2022-08-17,18H 24M 40S,175,42,"81 a 100 kg","Não","Outros","nenhum","Branca","Sim","Masculino","Solteiro","3","Não",NA,"Sim","Cachorro",NA,"1","acima de 30","Não","Não pratico esportes regularmente",10,"São Paulo","Entre 101 e 200","De 4 a 6 SM","Não",NA,"Não","0 refeições","Sim","Sim","Sim","Sim",2013,"Não","Com os pais","2","Sim","2","Outro:",NA,"Sim","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino fundamental","Não","Carro (próprio, alugado, emprestado, etc.)","Sim","Direito","Sim","Homeoffice","Servidor publico","Não","sao paulo","31 a 40h","Não"
2022-08-17 18:54:52,2022-08-17,18H 54M 52S,173,41,"71 a 80 kg","Sim","Outros","nenhum","Branca","Não","Masculino","Solteiro","3","Não",NA,"Não","Cachorro",NA,"1","(17 a 20)","Não","três vezes",2,"SP","Acima de 300","Até 2 Salários Mínimos","Não",NA,"Sim","1 refeição","Não","Sim","Sim","Não",2022,"Sim","Com amigos","1","Não","1","Outro:","Português","Sim","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino Médio","Sim","Ônibus","Não",NA,"Sim","Presencial","Estagiário de contabilidade","Sim","ribeirao preto","20 a 30h","Não"
2022-08-17 19:09:03,2022-08-17,19H 9M 3S,174,41,"71 a 80 kg","Sim","Outros","Brinco","Branca","Sim","Masculino","Solteiro","5","Não",NA,"Sim","Não possuo animal de estimação",NA,"Acima de 4","(21 a 25)","Não","quatro ou mais vezes",0,"São paulo","201 e 300","Até 2 Salários Mínimos","Não",NA,"Não","0 refeições","Sim","Sim","Sim","Não",2022,"Não","Com os pais","4","Sim","Estados Unidos","Outro:",NA,"Sim","Privada","Própria","Ensino Superior","Ensino Médio","Sim","Carro (próprio, alugado, emprestado, etc.)","Não",NA,"Sim","Presencial","estágio administração","Não","ribeirao preto","20 a 30h","Não"
2022-08-17 19:09:16,2022-08-17,19H 9M 16S,160,36,"0 a 50 kg","Não","Outros","Brinco","Branca","Não","Feminino","Solteiro","4","Não",NA,"Sim","Cachorro",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",0,"Sao Paulo","Entre 101 e 200","Até 2 Salários Mínimos","Sim","PAPFE","Sim","1 refeição","Não","Sim","Sim","Não",2022,"Sim","Com amigos","3","Não","Brasil apenas","Outro:","Apenas portugues","Não","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino Médio","Não","Ônibus","Não",NA,"Sim","Presencial","Estagiária de contabilidade","Sim","ribeirao preto","20 a 30h","Não"
2022-08-17 19:09:47,2022-08-17,19H 9M 47S,181,42,"71 a 80 kg","Não","Piercing","nenhum","Branca","Sim","Masculino","Solteiro","Acima de 5","Não",NA,"Não","Cachorro",NA,"1","(17 a 20)","Não","quatro ou mais vezes",5,"São Paulo","Entre 101 e 200","De 4 a 6 SM","Não",NA,"Não","0 refeições","Não","Sim","Não","Não",2022,"Não","Em república","4","Sim","2","Inglês",NA,"Sim","Privada","Própria","Ensino Superior","Pós-graduados","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Presencial","Estudante","Não","ribeirao preto","Não trabalho","Não"
2022-08-17 19:11:25,2022-08-17,19H 11M 25S,183,43,"81 a 100 kg","Não","Piercing","nenhum","Branca","Não","Masculino","Solteiro","1","Sim","Neuron","Não","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","quatro ou mais vezes",12,"PR","Entre 101 e 200","Até 2 Salários Mínimos","Sim","Financeiro","Sim","2 refeições","Não","Sim","Sim","Não",2021,"Não","Sozinho","2","Não","1","Inglês",NA,"Não","Estudei em ambas com predominância na Pública","Prefiro não responder","Ensino Médio","Ensino Médio","Não","Bicicleta (própria, alugada, emprestada, etc.)","Não",NA,"Não","Homeoffice","Contador","Não","ribeirao preto","Não trabalho","Sim"
2022-08-17 19:13:27,2022-08-17,19H 13M 27S,180,40,"71 a 80 kg","Não","Tatuagem","nenhum","Branca","Não","Masculino","Solteiro","1","Sim","Clube mercado financeiro","Sim","Outro:","Salamandra","1","(21 a 25)","Não","Não pratico esportes regularmente",7,"Sp","Acima de 300","De 4 a 6 SM","Não",NA,"Sim","1 refeição","Sim","Sim","Sim","Não",2022,"Não","Com os pais","2","Sim","2","Outro:","Português","Sim","Estudei em ambas com predominância na Privada","Própria","Pós-graduados","Pós-graduados","Sim","Carro (próprio, alugado, emprestado, etc.)","Não",NA,"Não","Presencial","Estudante","Sim","ribeirao preto","Não trabalho","Sim"
2022-08-17 19:16:49,2022-08-17,19H 16M 49S,183,42,"81 a 100 kg","Sim","Outros","Nenhum.","Branca","Sim","Masculino","Solteiro","3","Não",NA,"Sim","Cachorro","Não possuo filhos.","Acima de 4","(21 a 25)","Não","Não pratico esportes regularmente",0,"São paulo","Entre 101 e 200","De 4 a 6 SM","Não",NA,"Não","0 refeições","Não","Sim","Sim","Não",2020,"Sim","Com os pais","1","Não","0","Inglês",NA,"Não","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Superior","Pós-graduados","Sim","Carro (próprio, alugado, emprestado, etc.)","Sim","Economia - UEL (1 semestre)","Sim","Presencial","Conferente Logística","Não","ribeirao preto","Acima de 40h","Não"
2022-08-17 19:33:49,2022-08-17,19H 33M 49S,190,44,"81 a 100 kg","Não","Outros","Brinco","Branca","Não","Masculino","Solteiro","2","Não",NA,"Não","Cachorro",NA,"1","(21 a 25)","Não","três vezes",2,"São Paulo","201 e 300","De 2 a 4 SM","Sim","Financeiro","Sim","1 refeição","Não","Sim","Sim","Não",2018,"Não","Com os pais","1","Não","1","Outro:","Português","Não","Pública (Estadual, Federal ou Municipal)","Própria","Pós-graduados","Ensino Superior","Não","Carro (próprio, alugado, emprestado, etc.)","Não",NA,"Não","Presencial","Contábil","Sim","ribeirao preto","Não trabalho","Não"
2022-08-17 19:52:04,2022-08-17,19H 52M 4S,178,41,"71 a 80 kg","Sim","Outros","Brincos","Branca","Não","Masculino","Solteiro","4","Não",NA,"Sim","Cachorro",NA,"1","(17 a 20)","Não","até duas vezes",1,"Minas Gerais","201 e 300","Até 2 Salários Mínimos","Sim","Auxílio Moradia e Alimentação","Sim","2 refeições","Não","Sim","Sim","Não",2022,"Sim","Outros","Nenhuma","Não","0","Outro:","Só o português","Sim","Estudei em ambas com predominância na Privada","Outro","Ensino Médio","Pós-graduados","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não","Contabilidade","Não","Presencial","Estudante","Não","nenhuma","Não trabalho","Não"
2022-08-17 20:57:40,2022-08-17,20H 57M 40S,165,36,"51 a 60 kg","Não","Outros","nenhum","Branca","Não","Feminino","Solteiro","2","Não",NA,"Não","Gato",NA,"1","(26 a 30)","Sim","Não pratico esportes regularmente",5,"São Paulo","Entre 101 e 200","De 2 a 4 SM","Não",NA,"Não","0 refeições","Não","Sim","Sim","Não",2022,"Sim","Outros","1","Não","Somente Brasil","Outro:","Não falo outra língua fluentemente","Sim","Pública (Estadual, Federal ou Municipal)","Outro","Ensino Médio","Ensino fundamental","Não","Ônibus","Sim","Administração","Sim","Presencial","Assistente de contas a receber","Sim","sertaozinho","31 a 40h","Não"
2022-08-17 21:04:12,2022-08-17,21H 4M 12S,179,41,"71 a 80 kg","Não","Outros","Não tenho nenhum tipo de adereço ou ornamento corporal.","Branca","Sim","Masculino","Solteiro","1","Não",NA,"Não","Cachorro",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",20,"São Paulo","Até 100","Até 2 Salários Mínimos","Não",NA,"Não","0 refeições","Não","Não","Sim","Não",2022,"Não","Sozinho","0","Não","0","Outro:","Inglês intermediário.","Sim","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino Médio","Sim","Ônibus","Não",NA,"Sim","Homeoffice","Estágio em Finanças","Sim","ribeirao preto","20 a 30h","Não"
2022-08-17 21:09:14,2022-08-17,21H 9M 14S,161,35,"61 a 70 kg","Sim","Piercing, Outros","nenhum","Parda","Sim","Feminino","Solteiro","4","Não",NA,"Sim","Gato",NA,"1","(17 a 20)","Não","quatro ou mais vezes",2,"São Paulo","201 e 300","Até 2 Salários Mínimos","Não",NA,"Sim","0 refeições","Não","Não","Não","Não",2022,"Sim","Com os pais","2","Não","1","Outro:",NA,"Não","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino Superior","Não","Ônibus","Não",NA,"Sim","Presencial","Recepcionista","Não","brodowski","Menos de 20h","Não"
2022-08-17 21:30:39,2022-08-17,21H 30M 39S,175,41,"81 a 100 kg","Não","Tatuagem, Piercing","nenhum","Parda","Não","Masculino","Solteiro","4","Sim","Atlética","Sim","Não possuo animal de estimação",NA,"1","(21 a 25)","Sim","Não pratico esportes regularmente",0,"São Paulo","Entre 101 e 200","Até 2 Salários Mínimos","Não",NA,"Não","0 refeições","Não","Sim","Sim","Não",2021,"Sim","Com os pais","3","Não","1","Outro:","Português","Não","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino Médio","Sim","Motocicleta (própria, alugada, emprestada, etc.)","Não",NA,"Sim","Presencial","Assistente Contábil","Sim","ribeirao preto","Acima de 40h","Sim"
2022-08-17 21:33:20,2022-08-17,21H 33M 20S,158,36,"71 a 80 kg","Não","Outros","nenhum","Parda","Sim","Feminino","Solteiro","2","Não",NA,"Prefiro não responder","Cachorro",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",2,"Sou de RP mesmo","Acima de 300","De 2 a 4 SM","Não",NA,"Não","0 refeições","Não","Não","Sim","Sim",2020,"Sim","Outros","1","Não","1","Outro:","Português","Sim","Pública (Estadual, Federal ou Municipal)","Própria","Analfabeto","Analfabeto","Não","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Sim","Homeoffice","Auditoria de Demonstrações Contábeis","Sim","ribeirao preto","31 a 40h","Não"
2022-08-17 21:54:44,2022-08-17,21H 54M 44S,177,41,"81 a 100 kg","Não","Tatuagem","nenhum","Branca","Sim","Masculino","União Estável","2","Não",NA,"Sim","Cachorro",NA,"1","(26 a 30)","Sim","até duas vezes",6,"SP","Até 100","De 2 a 4 SM","Não",NA,"Não","0 refeições","Não","Sim","Sim","Não",2022,"Sim","Outros","1","Não","Somente o Brasil","Outro:",NA,"Sim","Pública (Estadual, Federal ou Municipal)","Própria","Ensino fundamental","Ensino fundamental","Não","Motocicleta (própria, alugada, emprestada, etc.)","Não",NA,"Sim","Presencial","Assistente Fiscal","Sim","ribeirao preto","Acima de 40h","Não"
2022-08-18 17:29:34,2022-08-18,17H 29M 34S,165,35,"51 a 60 kg","Não","Outros","nenhum","Parda","Não","Feminino","Solteiro","4","Não",NA,"Sim","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","até duas vezes",10,"MG","Entre 101 e 200","Até 2 Salários Mínimos","Não",NA,"Sim","1 refeição","Não","Sim","Sim","Não",2022,"Sim","Com amigos","2","Não","1","Outro:","portugues","Não","Pública (Estadual, Federal ou Municipal)","Outro","Ensino fundamental","Ensino fundamental","Não","Ônibus","Não",NA,"Sim","Presencial","estagiaria de rh","Não","ribeirao preto","20 a 30h","Não"
2022-08-22 09:06:42,2022-08-22,9H 6M 42S,170,40,"71 a 80 kg","Não","Tatuagem","nenhum","Preta","Sim","Masculino","Solteiro","4","Não",NA,"Não","Não possuo animal de estimação",NA,"1","(21 a 25)","Sim","Não pratico esportes regularmente",0,"SP","Acima de 300","Até 2 Salários Mínimos","Não",NA,"Não","0 refeições","Não","Sim","Sim","Não",2019,"Sim","Com amigos","1","Não","1","Outro:","Português","Sim","Pública (Estadual, Federal ou Municipal)","Própria","Ensino fundamental","Ensino Superior","Não","Aplicativo (Uber, 99 Taxi, etc.)","Sim","Engenharia","Sim","Homeoffice","Auditor","Sim","ribeirao preto","Acima de 40h","Não"
