"data_hora","data","hora","altura","n_calcado","peso","cirurgia","estetica","estetica_outros","cor","oculos","sexo","estado_civil","n_pessoas_moradia","entidade_estudantil","tipo_entidade_estudantil","religiao","animais_domesticos","outro_animais_domesticos","n_filhos","idade","doa_sangue","frequencia_esporte","n_livros_ano","uf_antes_fearp","n_pessoas_whatsapp","renda_em_sm","auxilio_usp","tipo_auxilio_usp","bandejao","n_refeicoes_bandejao","fundo_de_investimento","cartao_de_credito","conta_em_bancos","previdencia_privada","ano_ingresso_usp","cotas","divide_residencia","n_tv","viagem_exterior","n_paises","idioma_fluente","outro_idioma","plano_saude","escola_colegial","casa_pais","escolaridade_pai","escolaridade_mae","ajuda_financeira_pais","transporte_em_ribeirao","graduacao_anterior","curso_graduacao_anterior","empregado","modalidade_emprego","profissao","trabalho_contabil","cidade_empresa","horas_trabalho_semana","renda_complementar"
2022-08-17 10:24:12,2022-08-17,10H 24M 12S,166,36,"0 a 50 kg","Não","Outros","nenhum","Branca","Não","Feminino","Solteiro","2","Não",NA,"Não","Gato",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",5,"SP","Até 100","Até 2 Salários Mínimos","Não",NA,"Não","0 refeições","Não","Sim","Não","Não",2021,"Sim","Outros","1","Não","1","Outro:",NA,"Não","Pública (Estadual, Federal ou Municipal)","Outro","Ensino Superior","Ensino Médio","Sim","Ônibus","Não",NA,"Não","Presencial","Nao","Não","nenhuma","Não trabalho","Não"
2022-08-17 10:54:19,2022-08-17,10H 54M 19S,150,36,"0 a 50 kg","Sim","Piercing","nenhum","Branca","Sim","Feminino","Solteiro","1","Não","Insertus, Neuron","Sim","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",4,"SP","Até 100","Até 2 Salários Mínimos","Não",NA,"Sim","1 refeição","Prefiro não responder","Não","Prefiro não responder","Não",2022,"Sim","Sozinho","1","Não","1","Inglês",NA,"Sim","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino Médio","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Homeoffice","Estudante","Não","nenhuma","Não trabalho","Não"
2022-08-17 11:14:05,2022-08-17,11H 14M 5S,181,39,"81 a 100 kg","Não","Outros","nenhum","Parda","Sim","Feminino","Solteiro","3","Não",NA,"Sim","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","quatro ou mais vezes",2,"São Paulo","Até 100","De 6 a 8 SM","Não",NA,"Sim","0 refeições","Não","Não","Não","Não",2022,"Não","Com os pais","Não moro em Ribeirão Preto","Não","0","Outro:","Nenhum","Sim","Privada","Própria","Pós-graduados","Ensino Superior","Sim","Ônibus","Não",NA,"Não","Homeoffice","Não tenho","Não","nenhuma","Não trabalho","Não"
2022-08-17 11:29:36,2022-08-17,11H 29M 36S,169,40,"61 a 70 kg","Não","Outros","nenhum","Branca","Sim","Masculino","Solteiro","2","Sim","Clube de Mercado Financeiro","Não","Gato",NA,"1","(17 a 20)","Não","três vezes",26,"São Paulo","201 e 300","Mais de 10 SM","Não",NA,"Não","0 refeições","Sim","Sim","Não","Não",2022,"Não","Com amigos","1","Não","1","Inglês",NA,"Sim","Privada","Própria","Pós-graduados","Pós-graduados","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Homeoffice","Nenhuma","Não","nenhuma","Não trabalho","Não"
2022-08-17 11:38:49,2022-08-17,11H 38M 49S,193,44,"81 a 100 kg","Não","Tatuagem, Outros","Brinco","Parda","Sim","Masculino","Solteiro","3","Não",NA,"Não","Cachorro",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",3,"Sp","Acima de 300","Até 2 Salários Mínimos","Sim","Auxílio de 500 reais","Sim","1 refeição","Não","Sim","Sim","Não",2022,"Sim","Com os pais","2","Não","1","Outro:",NA,"Sim","Pública (Estadual, Federal ou Municipal)","Alugada","Ensino Superior","Ensino Médio","Sim","Ônibus","Não",NA,"Sim","Presencial","Estagiário","Sim","nuporanga","20 a 30h","Não"
2022-08-17 11:39:28,2022-08-17,11H 39M 28S,173,41,"61 a 70 kg","Não","Outros","Alargador","Branca","Sim","Masculino","Solteiro","3","Sim","Agrocare","Não","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","até duas vezes",0,"SP","Acima de 300","Mais de 10 SM","Não",NA,"Sim","1 refeição","Não","Sim","Não","Não",2022,"Não","Com amigos","1","Sim","4","Inglês",NA,"Sim","Privada","Própria","Pós-graduados","Ensino Superior","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Presencial","nenhuma","Não","nenhuma","Não trabalho","Não"
2022-08-17 12:24:52,2022-08-17,12H 24M 52S,178,42,"51 a 60 kg","Não","Outros","nenhum","Branca","Não","Masculino","Solteiro","2","Não",NA,"Sim","Gato",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",4,"São Paulo","Entre 101 e 200","Até 2 Salários Mínimos","Não",NA,"Sim","1 refeição","Sim","Não","Não","Não",2022,"Não","Com os pais","1","Não","1","Inglês",NA,"Sim","Privada","Própria","Ensino Superior","Ensino Superior","Sim","Ônibus","Não",NA,"Não","Presencial","Desempregado","Não","nenhuma","Não trabalho","Não"
2022-08-17 12:29:08,2022-08-17,12H 29M 8S,168,38,"71 a 80 kg","Não","Piercing","nenhum","Preta","Sim","Feminino","Solteiro","4","Não",NA,"Sim","Cachorro",NA,"1","(17 a 20)","Não","até duas vezes",1,"SÃO PAULO","Acima de 300","Até 2 Salários Mínimos","Não",NA,"Não","0 refeições","Não","Sim","Sim","Sim",2022,"Sim","Com os pais","2","Não","0","Inglês",NA,"Sim","Pública (Estadual, Federal ou Municipal)","Alugada","Pós-graduados","Ensino Médio","Não","Ônibus","Não",NA,"Sim","Presencial","AUXILIAR DE ESCRITÓRIO DE CONTABILIDADE","Sim","sao joaquim da barra","Acima de 40h","Não"
2022-08-17 12:39:29,2022-08-17,12H 39M 29S,163,41,"71 a 80 kg","Não","Outros","Não tenho nenhuma das opções acima","Branca","Não","Masculino","Solteiro","3","Não",NA,"Não","Cachorro",NA,"1","(17 a 20)","Não","quatro ou mais vezes",3,"SP","Até 100","De 2 a 4 SM","Não",NA,"Não","0 refeições","Não","Não","Não","Não",2022,"Não","Com os pais","1","Não","0","Inglês",NA,"Sim","Privada","Própria","Ensino Médio","Ensino Médio","Sim","Carro (próprio, alugado, emprestado, etc.)","Não",NA,"Não","Presencial","Desempregado","Sim","serrana","Não trabalho","Não"
2022-08-17 12:44:24,2022-08-17,12H 44M 24S,173,38,"51 a 60 kg","Não","Outros","não possuo nada","Branca","Sim","Feminino","Solteiro","1","Sim","Empresa Júnior e Agrocare","Sim","Cachorro",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",0,"SP","Acima de 300","De 4 a 6 SM","Não",NA,"Sim","1 refeição","Sim","Sim","Sim","Não",2022,"Não","Sozinho","0","Sim","3","Inglês",NA,"Sim","Privada","Própria","Pós-graduados","Pós-graduados","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Sim","arquitetura","Não","Homeoffice","não trabalho","Não","nenhuma","Não trabalho","Sim"
